# Population fc	G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G23,G24
# Population fl	R05,Y01,Y02,Y03
# Locus ID	Pop 1 ID	Pop 2 ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
512	fc	fl	NC_036838.1	7100117	-0.20434	-0.12286	0.00000	-0.18344	0.05323	0.00000	0.08163	0.35842	0.00000
514	fc	fl	NC_036838.1	7111835	-0.33141	-0.12157	0.00000	-0.02315	0.05562	0.00000	0.53744	0.35863	0.00000
517	fc	fl	NC_036838.1	7132286	-0.33141	-0.11948	0.00000	-0.02315	0.05926	0.00000	0.23103	0.35911	0.00000
518	fc	fl	NC_036838.1	7132348	0.37589	-0.11947	0.00000	0.43392	0.05927	0.00000	0.53131	0.35911	0.00000
557	fc	fl	NC_036838.1	7646363	-0.11223	0.07833	0.00000	-0.12047	0.07159	0.00000	-0.12621	0.12409	0.00000
563	fc	fl	NC_036838.1	7704187	0.25156	0.10501	0.00000	0.26992	0.09824	0.00000	0.23832	0.17463	0.00000
572	fc	fl	NC_036838.1	7795444	0.11974	0.15573	0.00000	0.06368	0.14837	0.00000	0.18781	0.26160	0.00000
586	fc	fl	NC_036838.1	7921542	-0.08959	0.23332	0.00000	-0.07440	0.22213	0.00000	0.31058	0.36068	0.00000
588	fc	fl	NC_036838.1	7945403	-0.07390	0.25109	0.00000	-0.01695	0.23972	0.00000	-0.00216	0.37784	0.00000
590	fc	fl	NC_036838.1	7962746	0.86173	0.26419	0.00000	0.92047	0.25304	0.00000	0.96417	0.39026	0.00000
591	fc	fl	NC_036838.1	7962852	-0.08635	0.26427	0.00000	-0.00533	0.25312	0.00000	-0.00000	0.39034	0.00000
594	fc	fl	NC_036838.1	7971517	0.09677	0.27105	0.00000	0.08411	0.26020	0.00000	0.60265	0.39666	0.00000
600	fc	fl	NC_036838.1	8029209	0.74041	0.32053	0.00000	0.32221	0.31630	0.00000	0.44444	0.44215	0.00000
612	fc	fl	NC_036838.1	8182832	0.55000	0.46209	0.00000	0.60156	0.54402	0.00000	0.61674	0.59691	0.00000
613	fc	fl	NC_036838.1	8182831	0.59509	0.46209	0.00000	0.64398	0.54402	0.00000	0.70903	0.59691	0.00000
626	fc	fl	NC_036838.1	8341511	0.96746	0.51597	0.00000	1.00000	0.72047	0.00000	1.00000	0.69624	0.00000
627	fc	fl	NC_036838.1	8341505	0.31672	0.51597	0.00000	0.87546	0.72047	0.00000	0.92267	0.69624	0.00000
629	fc	fl	NC_036838.1	8352717	-0.03342	0.51082	0.00000	0.40474	0.72128	0.00000	0.38889	0.69547	0.00000
635	fc	fl	NC_036838.1	8374410	0.82540	0.50502	0.00000	0.89578	0.72489	0.00000	0.58768	0.69409	0.00000
671	fc	fl	NC_036838.1	8793516	-0.33141	-0.16860	0.00000	-0.02315	-0.00367	0.00000	0.29255	0.20489	0.00000
672	fc	fl	NC_036838.1	8793251	-0.33172	-0.16863	0.00000	-0.02120	-0.00367	0.00000	0.35921	0.20483	0.00000
673	fc	fl	NC_036838.1	8795716	-0.14061	-0.16836	0.00000	-0.00776	-0.00361	0.00000	0.07937	0.20542	0.00000
678	fc	fl	NC_036838.1	8815081	-0.11554	-0.16590	0.00000	-0.01312	-0.00312	0.00000	0.06987	0.21043	0.00000
679	fc	fl	NC_036838.1	8815517	-0.11315	-0.16583	0.00000	-0.01374	-0.00309	0.00000	0.06847	0.21056	0.00000
693	fc	fl	NC_036838.1	8955786	0.18154	-0.10005	0.00000	0.03578	0.05102	0.00000	0.18103	0.29295	0.00000
694	fc	fl	NC_036838.1	8955986	-0.33231	-0.09987	0.00000	-0.01691	0.05118	0.00000	0.53968	0.29313	0.00000
706	fc	fl	NC_036838.1	9074350	-0.33172	0.07445	0.00000	-0.02120	0.20792	0.00000	0.35921	0.43836	0.00000
720	fc	fl	NC_036838.1	9188980	0.69892	0.28457	0.00000	0.78068	0.37831	0.00000	0.79518	0.56712	0.00000
726	fc	fl	NC_036838.1	9278424	1.00000	0.31393	0.00000	1.00000	0.37033	0.00000	1.00000	0.57064	0.00000
732	fc	fl	NC_036838.1	9327670	-0.06464	0.27150	0.00000	-0.03781	0.31409	0.00000	0.16322	0.53885	0.00000
742	fc	fl	NC_036838.1	9451181	-0.37143	0.18942	0.00000	-0.41523	0.20746	0.00000	0.62046	0.47802	0.00000
746	fc	fl	NC_036838.1	9465490	-0.08699	0.19059	0.00000	-0.00503	0.20603	0.00000	0.00508	0.47661	0.00000
752	fc	fl	NC_036838.1	9589257	-0.33197	0.27546	0.00000	-0.03893	0.26942	0.00000	0.52165	0.49744	0.00000
760	fc	fl	NC_036838.1	9624011	0.92974	0.30242	0.00000	0.96229	0.29229	0.00000	0.91291	0.50118	0.00000
767	fc	fl	NC_036838.1	9642288	0.52542	0.31360	0.00000	0.06874	0.30209	0.00000	0.21053	0.50130	0.00000
771	fc	fl	NC_036838.1	9685503	0.91823	0.33051	0.00000	0.95560	0.31960	0.00000	0.97992	0.49531	0.00000
779	fc	fl	NC_036838.1	9766511	-0.11111	0.29826	0.00000	-0.02242	0.30534	0.00000	0.10369	0.44270	0.00000
806	fc	fl	NC_036838.1	9997249	-0.13932	0.06001	0.00000	-0.00950	0.13496	0.00000	0.07631	0.23352	0.00000
811	fc	fl	NC_036838.1	10009962	1.00000	0.05486	0.00000	1.00000	0.13016	0.00000	0.93356	0.22853	0.00000
812	fc	fl	NC_036838.1	10009825	-0.14027	0.05491	0.00000	-0.01553	0.13021	0.00000	0.06661	0.22858	0.00000
815	fc	fl	NC_036838.1	10027984	-0.33197	0.04857	0.00000	-0.01955	0.12401	0.00000	0.37328	0.22216	0.00000
819	fc	fl	NC_036838.1	10050109	-0.38903	0.04228	0.00000	-0.60859	0.11724	0.00000	-0.51245	0.21491	0.00000
824	fc	fl	NC_036838.1	10071533	-0.00599	0.03665	0.00000	-0.00149	0.11114	0.00000	0.01818	0.20908	0.00000
866	fc	fl	NC_036838.1	10497375	-0.14027	0.00796	0.00000	-0.00827	0.04573	0.00000	0.28947	0.33129	0.00000
877	fc	fl	NC_036838.1	10689158	-0.33197	0.02411	0.00000	-0.01955	0.00984	0.00000	0.45329	0.30221	0.00000
878	fc	fl	NC_036838.1	10689125	0.77042	0.02413	0.00000	0.32405	0.00986	0.00000	0.44444	0.30223	0.00000
884	fc	fl	NC_036838.1	10803780	-0.11032	-0.02756	0.00000	-0.01440	-0.04640	0.00000	0.06687	0.25671	0.00000
888	fc	fl	NC_036838.1	10885844	-0.37500	-0.00737	0.00000	-0.42353	-0.02890	0.00000	-0.14242	0.25458	0.00000
889	fc	fl	NC_036838.1	10886004	-0.37500	-0.00725	0.00000	-0.42353	-0.02879	0.00000	0.40229	0.25461	0.00000
901	fc	fl	NC_036838.1	11075434	0.86173	0.30582	0.00000	0.92047	0.27314	0.00000	0.96417	0.37372	0.00000
905	fc	fl	NC_036838.1	11122047	-0.17647	0.38976	0.00000	-0.19565	0.36056	0.00000	-0.02293	0.41608	0.00000
907	fc	fl	NC_036838.1	11127134	0.19502	0.39833	0.00000	0.01328	0.36973	0.00000	0.00000	0.42082	0.00000
922	fc	fl	NC_036838.1	11304495	0.92974	0.59278	0.00000	0.96229	0.60177	0.00000	0.91291	0.56169	0.00000
923	fc	fl	NC_036838.1	11304249	0.90220	0.59270	0.00000	0.94603	0.60163	0.00000	0.69428	0.56159	0.00000
924	fc	fl	NC_036838.1	11306662	0.92974	0.59343	0.00000	0.96229	0.60295	0.00000	0.98294	0.56253	0.00000
927	fc	fl	NC_036838.1	11312709	0.40000	0.59503	0.00000	0.47059	0.60598	0.00000	-0.03581	0.56473	0.00000
943	fc	fl	NC_036838.1	11475106	-0.10562	0.54932	0.00000	-0.05194	0.58849	0.00000	0.01331	0.58032	0.00000
962	fc	fl	NC_036838.1	11632050	0.86173	0.59178	0.00000	0.92047	0.63169	0.00000	0.96417	0.69305	0.00000
974	fc	fl	NC_036838.1	11697678	0.88801	0.62619	0.00000	0.96194	0.66070	0.00000	0.96564	0.73747	0.00000
976	fc	fl	NC_036838.1	11739099	0.08774	0.64572	0.00000	-0.01818	0.67670	0.00000	0.36386	0.75666	0.00000
989	fc	fl	NC_036838.1	11982946	0.94667	0.63941	0.00000	1.00000	0.66057	0.00000	0.78284	0.71120	0.00000
1002	fc	fl	NC_036838.1	12134443	-0.12096	0.55635	0.00000	-0.17989	0.57658	0.00000	0.55893	0.62762	0.00000
1012	fc	fl	NC_036838.1	12169932	0.93435	0.53698	0.00000	0.96493	0.55720	0.00000	0.98413	0.60500	0.00000
1015	fc	fl	NC_036838.1	12172151	0.88679	0.53590	0.00000	0.92807	0.55609	0.00000	0.93069	0.60367	0.00000
1021	fc	fl	NC_036838.1	12235450	0.00285	0.50520	0.00000	-0.01695	0.52317	0.00000	-0.01974	0.56483	0.00000
1022	fc	fl	NC_036838.1	12235546	0.87215	0.50515	0.00000	0.92202	0.52311	0.00000	0.89057	0.56478	0.00000
1023	fc	fl	NC_036838.1	12236180	0.18182	0.50485	0.00000	0.18182	0.52277	0.00000	0.06452	0.56439	0.00000
1032	fc	fl	NC_036838.1	12353876	-0.06211	0.45569	0.00000	-0.00326	0.45199	0.00000	-0.00000	0.49771	0.00000
1037	fc	fl	NC_036838.1	12394185	0.86173	0.44189	0.00000	0.92047	0.42191	0.00000	0.96417	0.47589	0.00000
1057	fc	fl	NC_036838.1	12549736	0.86170	0.40298	0.00000	0.32400	0.31348	0.00000	0.76190	0.38840	0.00000
1061	fc	fl	NC_036838.1	12591695	-0.13932	0.39893	0.00000	-0.00950	0.31092	0.00000	0.01397	0.37486	0.00000
1069	fc	fl	NC_036838.1	12670976	0.30175	0.39582	0.00000	0.02630	0.33337	0.00000	-0.01146	0.37054	0.00000
1073	fc	fl	NC_036838.1	12737644	0.85321	0.40671	0.00000	0.90772	0.37167	0.00000	0.82625	0.39145	0.00000
1078	fc	fl	NC_036838.1	12802183	-0.10276	0.42578	0.00000	-0.01578	0.40970	0.00000	0.03846	0.42322	0.00000
1080	fc	fl	NC_036838.1	12827449	0.71897	0.43507	0.00000	0.81305	0.42347	0.00000	0.50204	0.43751	0.00000
1081	fc	fl	NC_036838.1	12827231	-0.28114	0.43500	0.00000	-0.04590	0.42336	0.00000	0.22037	0.43739	0.00000
1085	fc	fl	NC_036838.1	12867236	1.00000	0.44904	0.00000	1.00000	0.44180	0.00000	0.92834	0.45927	0.00000
1091	fc	fl	NC_036838.1	12920297	0.35920	0.46876	0.00000	0.03454	0.46356	0.00000	0.14898	0.48942	0.00000
1095	fc	fl	NC_036838.1	12985213	-0.08314	0.49026	0.00000	-0.01986	0.48560	0.00000	-0.01777	0.52490	0.00000
1098	fc	fl	NC_036838.1	13007487	1.00000	0.49597	0.00000	1.00000	0.49213	0.00000	0.96678	0.53570	0.00000
1099	fc	fl	NC_036838.1	13007544	0.80068	0.49598	0.00000	0.91588	0.49214	0.00000	0.96230	0.53573	0.00000
1111	fc	fl	NC_036838.1	13109572	0.16685	0.50240	0.00000	0.07240	0.50411	0.00000	0.52598	0.56797	0.00000
1125	fc	fl	NC_036838.1	13205249	0.83946	0.44661	0.00000	0.90554	0.46739	0.00000	0.69926	0.54463	0.00000
1137	fc	fl	NC_036838.1	13366505	0.16570	0.24228	0.00000	0.04847	0.31654	0.00000	0.16003	0.43369	0.00000
1139	fc	fl	NC_036838.1	13398752	0.80861	0.20940	0.00000	0.88379	0.29286	0.00000	0.73453	0.41961	0.00000
1140	fc	fl	NC_036838.1	13399107	-0.32964	0.20908	0.00000	-0.03198	0.29262	0.00000	0.39490	0.41947	0.00000
1146	fc	fl	NC_036838.1	13473749	-0.29095	0.16630	0.00000	-0.03903	0.25782	0.00000	0.26963	0.40171	0.00000
1166	fc	fl	NC_036838.1	13775208	0.84772	0.76626	0.00000	0.56706	0.65858	0.00000	0.54545	0.66823	0.00000
1176	fc	fl	NC_036838.1	13882837	0.88056	0.71624	0.00000	0.94906	0.65820	0.00000	0.95330	0.66514	0.00000
1189	fc	fl	NC_036838.1	14025242	1.00000	0.32201	0.00000	1.00000	0.35354	0.00000	1.00000	0.40416	0.00000
1201	fc	fl	NC_036838.1	14151403	-0.13932	0.03325	0.00000	-0.00950	0.10920	0.00000	0.01397	0.21219	0.00000
1212	fc	fl	NC_036838.1	14206048	-0.04687	-0.03385	0.00000	-0.01695	0.05625	0.00000	0.04915	0.18210	0.00000
1213	fc	fl	NC_036838.1	14206067	0.13436	-0.03386	0.00000	0.00044	0.05624	0.00000	-0.01320	0.18210	0.00000
1219	fc	fl	NC_036838.1	14270938	-0.33216	-0.08504	0.00000	-0.01813	0.02051	0.00000	0.53925	0.17359	0.00000
1220	fc	fl	NC_036838.1	14270851	-0.13932	-0.08499	0.00000	-0.00950	0.02054	0.00000	-0.06723	0.17359	0.00000
1223	fc	fl	NC_036838.1	14289180	-0.14061	-0.09513	0.00000	-0.00776	0.01431	0.00000	0.07937	0.17485	0.00000
1229	fc	fl	NC_036838.1	14403265	-0.11315	-0.13744	0.00000	-0.01374	-0.00580	0.00000	0.06847	0.19990	0.00000
1230	fc	fl	NC_036838.1	14429184	0.13472	-0.14371	0.00000	0.10974	-0.00760	0.00000	0.53351	0.20732	0.00000
1231	fc	fl	NC_036838.1	14429136	-0.29768	-0.14370	0.00000	-0.03388	-0.00760	0.00000	0.53424	0.20730	0.00000
1236	fc	fl	NC_036838.1	14463337	-0.11315	-0.15154	0.00000	-0.01374	-0.00939	0.00000	0.05157	0.21748	0.00000
1237	fc	fl	NC_036838.1	14463407	-0.29563	-0.15156	0.00000	-0.06411	-0.00940	0.00000	0.16046	0.21750	0.00000
1255	fc	fl	NC_036838.1	14751548	-0.33216	-0.20151	0.00000	-0.01813	-0.00420	0.00000	0.53925	0.31247	0.00000
1257	fc	fl	NC_036838.1	14813201	-0.33172	-0.13406	0.00000	-0.02120	0.03099	0.00000	0.44536	0.31724	0.00000
1258	fc	fl	NC_036838.1	14812866	-0.13985	-0.13457	0.00000	-0.00884	0.03072	0.00000	0.05739	0.31719	0.00000
1275	fc	fl	NC_036838.1	14982549	-0.37780	0.34332	0.00000	-0.43719	0.34245	0.00000	-0.32917	0.45432	0.00000
1283	fc	fl	NC_036838.1	15070283	0.83942	0.57458	0.00000	0.32213	0.53394	0.00000	0.39723	0.57128	0.00000
1285	fc	fl	NC_036838.1	15102714	0.87991	0.62452	0.00000	0.92252	0.58259	0.00000	0.92330	0.60265	0.00000
1292	fc	fl	NC_036838.1	15161722	0.85321	0.67107	0.00000	0.90772	0.63656	0.00000	0.82625	0.63659	0.00000
1301	fc	fl	NC_036838.1	15223619	0.85143	0.68054	0.00000	0.91364	0.65734	0.00000	0.88116	0.64634	0.00000
1308	fc	fl	NC_036838.1	15335652	0.82540	0.66446	0.00000	0.89578	0.65662	0.00000	0.67050	0.64005	0.00000
1309	fc	fl	NC_036838.1	15335541	-0.05409	0.66447	0.00000	-0.10149	0.65662	0.00000	0.16069	0.64006	0.00000
1310	fc	fl	NC_036838.1	15343727	0.59925	0.66348	0.00000	0.88255	0.65642	0.00000	0.89643	0.63977	0.00000
1311	fc	fl	NC_036838.1	15343918	0.52542	0.66346	0.00000	0.06874	0.65642	0.00000	0.14074	0.63977	0.00000
1313	fc	fl	NC_036838.1	15363494	0.83946	0.66150	0.00000	0.90554	0.65574	0.00000	0.69926	0.63890	0.00000
1319	fc	fl	NC_036838.1	15426775	0.91853	0.66403	0.00000	1.00000	0.66263	0.00000	1.00000	0.64593	0.00000
1334	fc	fl	NC_036838.1	15710507	0.83946	0.69742	0.00000	0.90554	0.69031	0.00000	0.95667	0.67632	0.00000
1340	fc	fl	NC_036838.1	15777564	0.86334	0.64442	0.00000	0.91547	0.63965	0.00000	0.92077	0.62565	0.00000
1344	fc	fl	NC_036838.1	15808588	0.55200	0.61318	0.00000	0.13346	0.61134	0.00000	0.09091	0.59807	0.00000
1345	fc	fl	NC_036838.1	15808578	0.67028	0.61319	0.00000	0.88579	0.61135	0.00000	0.84720	0.59808	0.00000
1350	fc	fl	NC_036838.1	15849722	0.85321	0.56262	0.00000	0.90772	0.56597	0.00000	0.82625	0.55538	0.00000
1352	fc	fl	NC_036838.1	15857509	0.93015	0.55210	0.00000	0.95965	0.55666	0.00000	0.92459	0.54670	0.00000
1366	fc	fl	NC_036838.1	15976893	-0.06071	0.35749	0.00000	-0.00721	0.38844	0.00000	0.00284	0.39515	0.00000
1368	fc	fl	NC_036838.1	15993711	0.25448	0.32835	0.00000	0.17949	0.36360	0.00000	0.17774	0.37369	0.00000
1369	fc	fl	NC_036838.1	15993593	-0.14061	0.32855	0.00000	-0.00776	0.36378	0.00000	0.07937	0.37385	0.00000
1375	fc	fl	NC_036838.1	16164601	-0.14027	0.15791	0.00000	-0.00827	0.23288	0.00000	0.07850	0.27902	0.00000
1392	fc	fl	NC_036838.1	16366928	0.82334	0.32160	0.00000	0.87926	0.38622	0.00000	0.88106	0.44414	0.00000
1398	fc	fl	NC_036838.1	16435662	0.73385	0.30545	0.00000	0.63723	0.37131	0.00000	0.69017	0.43548	0.00000
1403	fc	fl	NC_036838.1	16455530	-0.30165	0.29632	0.00000	-0.06411	0.36342	0.00000	0.14318	0.43026	0.00000
1408	fc	fl	NC_036838.1	16482931	-0.11032	0.28052	0.00000	-0.01440	0.35002	0.00000	-0.03429	0.42133	0.00000
1418	fc	fl	NC_036838.1	16699584	0.93473	0.18184	0.00000	0.96266	0.27532	0.00000	0.96587	0.40528	0.00000
1419	fc	fl	NC_036838.1	16699608	-0.08981	0.18183	0.00000	-0.01569	0.27532	0.00000	0.06284	0.40528	0.00000
1425	fc	fl	NC_036838.1	16723681	-0.28014	0.17380	0.00000	-0.06335	0.26804	0.00000	0.31517	0.40536	0.00000
1443	fc	fl	NC_036838.1	17032675	-0.37780	0.00398	0.00000	-0.43719	-0.01063	0.00000	-0.08075	0.25039	0.00000
1448	fc	fl	NC_036838.1	17129637	0.19395	0.05084	0.00000	0.03912	0.03691	0.00000	0.59440	0.25162	0.00000
1450	fc	fl	NC_036838.1	17139454	-0.04928	0.05615	0.00000	-0.00728	0.04341	0.00000	0.11315	0.25150	0.00000
1463	fc	fl	NC_036838.1	17258781	0.36715	0.09514	0.00000	0.45998	0.10182	0.00000	0.47456	0.21651	0.00000
1467	fc	fl	NC_036838.1	17350836	0.08683	0.07458	0.00000	0.05153	0.09683	0.00000	0.00855	0.14891	0.00000
1477	fc	fl	NC_036838.1	17483123	-0.07143	0.00337	0.00000	-0.00953	0.04423	0.00000	0.00508	0.05779	0.00000
1486	fc	fl	NC_036838.1	17556817	-0.07991	-0.02951	0.00000	-0.01611	0.01884	0.00000	0.00323	0.03006	0.00000
1515	fc	fl	NC_036838.1	18188980	-0.07801	-0.08576	0.00000	-0.00167	-0.00367	0.00000	0.00490	0.34997	0.00000
1519	fc	fl	NC_036838.1	18226626	0.21290	-0.08456	0.00000	0.18494	-0.00808	0.00000	0.47464	0.36075	0.00000
1520	fc	fl	NC_036838.1	18226236	-0.24907	-0.08460	0.00000	-0.05247	-0.00804	0.00000	0.43026	0.36064	0.00000
1532	fc	fl	NC_036838.1	18334937	-0.32964	-0.03199	0.00000	-0.03198	-0.00301	0.00000	0.33936	0.39693	0.00000
1536	fc	fl	NC_036838.1	18339212	-0.33661	-0.02784	0.00000	-0.36533	-0.00196	0.00000	0.54688	0.39834	0.00000
