# Population fc	G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,G13,G14,G15,G16,G23,G24
# Population fl	R05,Y01,Y02,Y03
# Population pl	PL01,PL02,PL03,PL04,PL05,PL06,PL07,PL08,PL09,PL10
# Group defaultgrp	fc,fl,pl
# Locus ID	Chr	BP	phi_st	Smoothed Phi_st	Smoothed Phi_st P-value	Fst'	Smoothed Fst'	Smoothed Fst' P-value	D_est	Smoothed D_est	Smoothed D_est P-value
419	NC_036838.1	5920954	0.70634	0.25736	0.00000	0.65138	0.21204	0.00000	0.43123	0.29322	0.00000
428	NC_036838.1	6044030	-0.09375	0.20228	0.00000	-0.10315	0.18407	0.00000	0.30145	0.34714	0.00000
430	NC_036838.1	6046759	-0.08023	0.20073	0.00000	-0.00479	0.18317	0.00000	0.46223	0.34774	0.00000
431	NC_036838.1	6046755	0.04964	0.20074	0.00000	0.00175	0.18317	0.00000	0.56694	0.34774	0.00000
435	NC_036838.1	6091041	0.47253	0.17604	0.00000	0.17620	0.16859	0.00000	0.56457	0.35391	0.00000
443	NC_036838.1	6140810	0.46897	0.15044	0.00000	0.54110	0.15315	0.00000	0.37637	0.35352	0.00000
448	NC_036838.1	6204007	-0.02722	0.12266	0.00000	-0.00258	0.13532	0.00000	0.26063	0.34471	0.00000
450	NC_036838.1	6210742	0.55244	0.11997	0.00000	0.52758	0.13351	0.00000	0.39802	0.34341	0.00000
451	NC_036838.1	6210807	-0.02513	0.11995	0.00000	-0.00119	0.13349	0.00000	0.29912	0.34340	0.00000
454	NC_036838.1	6218128	-0.08242	0.11707	0.00000	-0.00741	0.13153	0.00000	0.29423	0.34191	0.00000
459	NC_036838.1	6334130	-0.02513	0.07100	0.00000	-0.00119	0.09577	0.00000	0.31811	0.30421	0.00000
480	NC_036838.1	6563290	-0.04624	-0.01706	0.00000	-0.00180	0.01581	0.00000	0.00344	0.17202	0.00000
487	NC_036838.1	6685034	0.12387	-0.02527	0.00000	0.05171	0.00944	0.00000	0.23306	0.18558	0.00000
490	NC_036838.1	6709281	-0.09127	-0.02568	0.00000	-0.10357	0.00950	0.00000	0.36692	0.19130	0.00000
491	NC_036838.1	6709320	-0.16415	-0.02569	0.00000	0.19305	0.00950	0.00000	-0.02278	0.19131	0.00000
512	NC_036838.1	7100117	-0.06137	-0.01299	0.00000	-0.05657	0.00791	0.00000	0.04615	0.21698	0.00000
514	NC_036838.1	7111835	-0.05978	-0.01241	0.00000	-0.00305	0.00806	0.00000	0.27323	0.21521	0.00000
517	NC_036838.1	7132286	-0.01997	-0.01143	0.00000	-0.00786	0.00829	0.00000	0.17113	0.21181	0.00000
518	NC_036838.1	7132348	0.07279	-0.01142	0.00000	0.09267	0.00829	0.00000	0.46467	0.21180	0.00000
531	NC_036838.1	7271812	0.00490	-0.00232	0.00000	0.00021	0.00995	0.00000	0.03293	0.17936	0.00000
557	NC_036838.1	7646363	-0.00977	0.21220	0.00000	-0.01341	0.11589	0.00000	0.34470	0.32463	0.00000
560	NC_036838.1	7677900	0.13790	0.22401	0.00000	0.02915	0.12253	0.00000	0.08204	0.32838	0.00000
563	NC_036838.1	7704187	0.46955	0.23432	0.00000	0.33596	0.12825	0.00000	0.44458	0.33053	0.00000
570	NC_036838.1	7790476	-0.02011	0.27462	0.00000	-0.00099	0.15076	0.00000	0.62523	0.33340	0.00000
572	NC_036838.1	7795444	0.18121	0.27710	0.00000	0.06647	0.15209	0.00000	0.11773	0.33336	0.00000
573	NC_036838.1	7795470	0.23972	0.27711	0.00000	0.05365	0.15210	0.00000	0.27809	0.33336	0.00000
580	NC_036838.1	7829328	0.32940	0.29447	0.00000	0.25746	0.16141	0.00000	0.51600	0.33273	0.00000
586	NC_036838.1	7921542	0.10102	0.34459	0.00000	0.03661	0.18979	0.00000	0.19231	0.33035	0.00000
587	NC_036838.1	7945313	1.00000	0.35858	0.00000	0.78261	0.19901	0.00000	0.64419	0.33044	0.00000
588	NC_036838.1	7945403	0.00268	0.35863	0.00000	0.00687	0.19904	0.00000	-0.01162	0.33044	0.00000
590	NC_036838.1	7962746	0.62757	0.36866	0.00000	0.14939	0.20599	0.00000	0.56713	0.33077	0.00000
591	NC_036838.1	7962852	-0.03895	0.36873	0.00000	-0.00159	0.20603	0.00000	0.00244	0.33078	0.00000
594	NC_036838.1	7971517	0.32693	0.37379	0.00000	0.19861	0.20975	0.00000	0.39442	0.33109	0.00000
600	NC_036838.1	8029209	0.58258	0.40799	0.00000	0.07367	0.23955	0.00000	0.22077	0.33606	0.00000
612	NC_036838.1	8182832	0.60478	0.48665	0.00000	0.51524	0.37497	0.00000	0.43016	0.38452	0.00000
613	NC_036838.1	8182831	0.66641	0.48665	0.00000	0.51963	0.37496	0.00000	0.40461	0.38452	0.00000
626	NC_036838.1	8341511	0.57943	0.47946	0.00000	0.15842	0.45396	0.00000	0.51482	0.40509	0.00000
627	NC_036838.1	8341505	0.40173	0.47947	0.00000	0.81834	0.45396	0.00000	0.57322	0.40510	0.00000
629	NC_036838.1	8352717	0.02913	0.47459	0.00000	0.44250	0.45154	0.00000	0.44140	0.40127	0.00000
635	NC_036838.1	8374410	0.87906	0.46817	0.00000	0.82707	0.44757	0.00000	0.50262	0.39370	0.00000
641	NC_036838.1	8455159	0.13536	0.44147	0.00000	0.01822	0.41525	0.00000	0.04428	0.35209	0.00000
649	NC_036838.1	8541679	0.94337	0.36998	0.00000	0.92326	0.32907	0.00000	-nan	0.27577	0.00000
656	NC_036838.1	8618760	0.39031	0.25075	0.00000	0.15820	0.21186	0.00000	0.39456	0.19435	0.00000
671	NC_036838.1	8793516	-0.03995	0.05705	0.00000	-0.00836	0.05108	0.00000	0.16971	0.10547	0.00000
672	NC_036838.1	8793251	-0.11918	0.05712	0.00000	-0.00690	0.05113	0.00000	0.16517	0.10549	0.00000
673	NC_036838.1	8795716	-0.04783	0.05645	0.00000	-0.00186	0.05067	0.00000	0.02839	0.10532	0.00000
678	NC_036838.1	8815081	0.03286	0.05289	0.00000	-0.00094	0.04813	0.00000	0.03116	0.10441	0.00000
679	NC_036838.1	8815517	-0.01509	0.05284	0.00000	-0.00126	0.04811	0.00000	0.02408	0.10442	0.00000
684	NC_036838.1	8900532	-0.01796	0.07524	0.00000	-0.00081	0.06680	0.00000	-0.01456	0.11952	0.00000
686	NC_036838.1	8902962	0.11902	0.07671	0.00000	0.01715	0.06795	0.00000	0.04428	0.12035	0.00000
693	NC_036838.1	8955786	0.02011	0.12075	0.00000	0.00296	0.10172	0.00000	0.06409	0.14429	0.00000
694	NC_036838.1	8955986	-0.07204	0.12096	0.00000	-0.00313	0.10188	0.00000	0.26849	0.14440	0.00000
706	NC_036838.1	9074350	0.94441	0.29838	0.00000	0.88342	0.22578	0.00000	0.64211	0.23801	0.00000
707	NC_036838.1	9074331	-0.01305	0.29834	0.00000	-0.00057	0.22575	0.00000	0.00530	0.23799	0.00000
720	NC_036838.1	9188980	0.76417	0.47494	0.00000	0.69236	0.32963	0.00000	0.52788	0.34121	0.00000
722	NC_036838.1	9201615	0.45631	0.48533	0.00000	0.16921	0.33372	0.00000	0.17093	0.34910	0.00000
726	NC_036838.1	9278424	1.00000	0.49409	0.00000	0.28205	0.32273	0.00000	0.59308	0.37867	0.00000
732	NC_036838.1	9327670	0.69555	0.44553	0.00000	0.86741	0.27937	0.00000	0.64113	0.37238	0.00000
742	NC_036838.1	9451181	-0.11801	0.29386	0.00000	-0.12944	0.14165	0.00000	0.29589	0.32070	0.00000
746	NC_036838.1	9465490	-0.05114	0.28350	0.00000	-0.00216	0.12988	0.00000	0.02071	0.31570	0.00000
749	NC_036838.1	9501969	0.18089	0.26767	0.00000	0.02532	0.10722	0.00000	-nan	0.30677	0.00000
752	NC_036838.1	9589257	-0.09788	0.27473	0.00000	-0.00887	0.09008	0.00000	0.27793	0.30323	0.00000
758	NC_036838.1	9609338	-0.01799	0.28037	0.00000	-0.00090	0.09132	0.00000	0.23812	0.30399	0.00000
760	NC_036838.1	9624011	0.77235	0.28433	0.00000	0.15080	0.09291	0.00000	0.54999	0.30442	0.00000
767	NC_036838.1	9642288	0.31085	0.28845	0.00000	0.01519	0.09470	0.00000	0.09333	0.30493	0.00000
771	NC_036838.1	9685503	0.76786	0.29511	0.00000	0.17890	0.10170	0.00000	0.55019	0.30535	0.00000
779	NC_036838.1	9766511	0.35021	0.27575	0.00000	0.55749	0.10388	0.00000	0.50500	0.29184	0.00000
780	NC_036838.1	9766408	0.36865	0.27580	0.00000	0.12833	0.10389	0.00000	0.13636	0.29187	0.00000
793	NC_036838.1	9895028	-0.02308	0.19320	0.00000	0.00872	0.06795	0.00000	0.43670	0.23765	0.00000
795	NC_036838.1	9895570	-0.02513	0.19290	0.00000	-0.00119	0.06777	0.00000	0.29912	0.23741	0.00000
806	NC_036838.1	9997249	-0.04427	0.16525	0.00000	-0.00197	0.04880	0.00000	0.02696	0.20299	0.00000
811	NC_036838.1	10009962	1.00000	0.16577	0.00000	0.15436	0.04893	0.00000	0.55420	0.20059	0.00000
812	NC_036838.1	10009825	-0.06003	0.16576	0.00000	-0.00803	0.04892	0.00000	0.01826	0.20061	0.00000
815	NC_036838.1	10027984	-0.08271	0.16772	0.00000	-0.00414	0.05009	0.00000	0.16970	0.19830	0.00000
816	NC_036838.1	10029150	0.07926	0.16792	0.00000	0.00783	0.05021	0.00000	0.29381	0.19817	0.00000
819	NC_036838.1	10050109	-0.12856	0.17276	0.00000	-0.16229	0.05340	0.00000	-0.17042	0.19629	0.00000
824	NC_036838.1	10071533	0.04834	0.18012	0.00000	0.00839	0.05855	0.00000	0.02753	0.19597	0.00000
840	NC_036838.1	10228672	0.72240	0.27465	0.00000	0.56543	0.12898	0.00000	0.56647	0.22725	0.00000
848	NC_036838.1	10309920	0.72840	0.27652	0.00000	0.40690	0.13273	0.00000	0.36791	0.23768	0.00000
855	NC_036838.1	10356832	0.24082	0.25141	0.00000	0.04349	0.11682	0.00000	0.08734	0.23418	0.00000
859	NC_036838.1	10462401	0.28507	0.17437	0.00000	0.08259	0.07006	0.00000	0.09263	0.21795	0.00000
861	NC_036838.1	10470871	-0.06780	0.16887	0.00000	-0.07264	0.06677	0.00000	-nan	0.21662	0.00000
862	NC_036838.1	10471016	-0.05013	0.16877	0.00000	-0.00531	0.06671	0.00000	0.57812	0.21660	0.00000
865	NC_036838.1	10497299	0.22444	0.15295	0.00000	0.04836	0.05741	0.00000	0.07664	0.21257	0.00000
866	NC_036838.1	10497375	-0.04695	0.15290	0.00000	-0.00190	0.05739	0.00000	0.14655	0.21256	0.00000
877	NC_036838.1	10689158	-0.06211	0.06595	0.00000	-0.00285	0.00970	0.00000	0.23483	0.18387	0.00000
878	NC_036838.1	10689125	0.29739	0.06597	0.00000	0.08563	0.00971	0.00000	0.19992	0.18388	0.00000
884	NC_036838.1	10803780	-0.04776	0.04236	0.00000	-0.00491	-0.01400	0.00000	0.08317	0.16957	0.00000
888	NC_036838.1	10885844	-0.11111	0.08378	0.00000	-0.12179	-0.00067	0.00000	-0.08053	0.17629	0.00000
889	NC_036838.1	10886004	-0.09677	0.08391	0.00000	-0.10500	-0.00061	0.00000	0.34318	0.17631	0.00000
900	NC_036838.1	11075688	0.49425	0.35756	0.00000	0.13070	0.22519	0.00000	-nan	0.26945	0.00000
901	NC_036838.1	11075434	0.62930	0.35713	0.00000	0.15764	0.22469	0.00000	0.56448	0.26924	0.00000
905	NC_036838.1	11122047	-0.11888	0.43508	0.00000	-0.13190	0.32031	0.00000	-0.10510	0.31171	0.00000
907	NC_036838.1	11127134	0.11811	0.44343	0.00000	0.00484	0.33114	0.00000	0.01581	0.31675	0.00000
922	NC_036838.1	11304495	0.95100	0.67610	0.00000	0.90321	0.65847	0.00000	0.74443	0.49770	0.00000
923	NC_036838.1	11304249	0.49970	0.67590	0.00000	0.80495	0.65817	0.00000	0.49360	0.49750	0.00000
924	NC_036838.1	11306662	0.95306	0.67785	0.00000	0.90255	0.66108	0.00000	0.81380	0.49942	0.00000
925	NC_036838.1	11306323	0.90204	0.67758	0.00000	0.94950	0.66067	0.00000	-nan	0.49916	0.00000
926	NC_036838.1	11312670	0.95283	0.68255	0.00000	0.96293	0.66807	0.00000	-nan	0.50411	0.00000
927	NC_036838.1	11312709	0.43688	0.68258	0.00000	0.37423	0.66811	0.00000	0.27006	0.50414	0.00000
943	NC_036838.1	11475106	0.56611	0.70101	0.00000	0.60423	0.71382	0.00000	0.47333	0.56105	0.00000
962	NC_036838.1	11632050	0.88882	0.52202	0.00000	0.86654	0.51943	0.00000	0.71200	0.51321	0.00000
974	NC_036838.1	11697678	0.90938	0.44177	0.00000	0.87527	0.43550	0.00000	0.71510	0.48518	0.00000
976	NC_036838.1	11739099	-0.04187	0.40565	0.00000	-0.10976	0.39807	0.00000	0.38571	0.47262	0.00000
977	NC_036838.1	11738960	-0.07076	0.40575	0.00000	-0.00527	0.39818	0.00000	0.11944	0.47266	0.00000
983	NC_036838.1	11802728	-0.01941	0.37179	0.00000	-0.00088	0.36362	0.00000	0.26661	0.46252	0.00000
989	NC_036838.1	11982946	0.96574	0.46137	0.00000	0.90630	0.45222	0.00000	0.75280	0.51622	0.00000
1002	NC_036838.1	12134443	-0.10823	0.46015	0.00000	-0.14875	0.44353	0.00000	0.25779	0.48286	0.00000
1003	NC_036838.1	12134359	0.20966	0.46018	0.00000	0.51426	0.44356	0.00000	0.71627	0.48290	0.00000
1012	NC_036838.1	12169932	0.71138	0.44926	0.00000	0.62147	0.42953	0.00000	0.70147	0.46644	0.00000
1015	NC_036838.1	12172151	0.91137	0.44859	0.00000	0.79981	0.42865	0.00000	0.64051	0.46543	0.00000
1021	NC_036838.1	12235450	-0.01527	0.42886	0.00000	-0.00953	0.40114	0.00000	0.01960	0.43533	0.00000
1022	NC_036838.1	12235546	0.90651	0.42883	0.00000	0.81965	0.40109	0.00000	0.62213	0.43528	0.00000
1023	NC_036838.1	12236180	-0.00958	0.42863	0.00000	-0.00990	0.40079	0.00000	0.20478	0.43498	0.00000
1032	NC_036838.1	12353876	-0.03615	0.40304	0.00000	-0.00131	0.33997	0.00000	0.00262	0.38125	0.00000
1037	NC_036838.1	12394185	0.63579	0.40296	0.00000	0.57617	0.31712	0.00000	0.67415	0.36438	0.00000
1057	NC_036838.1	12549736	0.62437	0.43225	0.00000	0.04474	0.24652	0.00000	0.39561	0.30931	0.00000
1061	NC_036838.1	12591695	0.56524	0.43626	0.00000	0.36519	0.24326	0.00000	0.27125	0.30357	0.00000
1069	NC_036838.1	12670976	0.18048	0.43070	0.00000	0.00826	0.25015	0.00000	0.00453	0.30867	0.00000
1073	NC_036838.1	12737644	0.65634	0.43226	0.00000	0.59318	0.26598	0.00000	0.47540	0.32899	0.00000
1078	NC_036838.1	12802183	-0.11111	0.44388	0.00000	-0.01491	0.28637	0.00000	0.31195	0.35671	0.00000
1080	NC_036838.1	12827449	0.81674	0.45199	0.00000	0.74748	0.29637	0.00000	0.51067	0.36928	0.00000
1081	NC_036838.1	12827231	-0.01953	0.45192	0.00000	-0.00231	0.29628	0.00000	0.14740	0.36917	0.00000
1085	NC_036838.1	12867236	0.77377	0.46588	0.00000	0.15835	0.31333	0.00000	0.54765	0.38887	0.00000
1091	NC_036838.1	12920297	0.12331	0.48744	0.00000	0.00078	0.34092	0.00000	0.05651	0.41669	0.00000
1095	NC_036838.1	12985213	0.48394	0.50981	0.00000	0.49963	0.37707	0.00000	0.36230	0.44834	0.00000
1098	NC_036838.1	13007487	0.76700	0.51477	0.00000	0.27311	0.38907	0.00000	0.55781	0.45761	0.00000
1099	NC_036838.1	13007544	0.78551	0.51478	0.00000	0.85983	0.38910	0.00000	0.83654	0.45763	0.00000
1111	NC_036838.1	13109572	0.67461	0.51325	0.00000	0.87719	0.42376	0.00000	0.74394	0.47917	0.00000
1125	NC_036838.1	13205249	0.39018	0.49193	0.00000	0.23206	0.42910	0.00000	0.36574	0.47055	0.00000
1127	NC_036838.1	13229035	0.01221	0.48924	0.00000	0.00057	0.42999	0.00000	0.05426	0.46710	0.00000
1128	NC_036838.1	13228897	0.58144	0.48925	0.00000	0.54138	0.42998	0.00000	0.70097	0.46712	0.00000
1137	NC_036838.1	13366505	0.86418	0.51239	0.00000	0.76375	0.45646	0.00000	0.65259	0.46114	0.00000
1139	NC_036838.1	13398752	0.87054	0.52576	0.00000	0.80969	0.46800	0.00000	0.61428	0.46371	0.00000
1140	NC_036838.1	13399107	-0.04979	0.52589	0.00000	-0.01141	0.46811	0.00000	0.24398	0.46373	0.00000
1146	NC_036838.1	13473749	0.56960	0.56184	0.00000	0.46352	0.49894	0.00000	0.39984	0.47016	0.00000
1166	NC_036838.1	13775208	0.93562	0.78072	0.00000	0.82658	0.69740	0.00000	0.59014	0.52936	0.00000
1171	NC_036838.1	13836441	1.00000	0.72026	0.00000	0.86598	0.64729	0.00000	0.63321	0.49854	0.00000
1176	NC_036838.1	13882837	0.81908	0.65116	0.00000	0.77167	0.58855	0.00000	0.59602	0.46241	0.00000
1186	NC_036838.1	13980798	0.00457	0.45216	0.00000	0.00019	0.41674	0.00000	0.03259	0.35415	0.00000
1189	NC_036838.1	14025242	1.00000	0.35102	0.00000	0.93204	0.32856	0.00000	0.82391	0.29655	0.00000
1201	NC_036838.1	14151403	-0.05797	0.13452	0.00000	-0.00280	0.13846	0.00000	-0.01011	0.17141	0.00000
1212	NC_036838.1	14206048	-0.05714	0.09963	0.00000	-0.02117	0.10716	0.00000	0.16004	0.15243	0.00000
1213	NC_036838.1	14206067	0.08592	0.09962	0.00000	0.00579	0.10716	0.00000	0.00324	0.15242	0.00000
1219	NC_036838.1	14270938	-0.08096	0.10058	0.00000	-0.00730	0.10646	0.00000	0.27770	0.15554	0.00000
1220	NC_036838.1	14270851	-0.06952	0.10055	0.00000	-0.00525	0.10644	0.00000	-0.06183	0.15552	0.00000
1223	NC_036838.1	14289180	-0.04783	0.10697	0.00000	-0.00186	0.11148	0.00000	0.02839	0.16006	0.00000
1229	NC_036838.1	14403265	-0.06547	0.19117	0.00000	-0.00825	0.18050	0.00000	0.01866	0.21444	0.00000
1230	NC_036838.1	14429184	0.00688	0.21348	0.00000	0.00516	0.19906	0.00000	0.28179	0.22881	0.00000
1231	NC_036838.1	14429136	0.43911	0.21344	0.00000	0.28934	0.19902	0.00000	0.43913	0.22879	0.00000
1236	NC_036838.1	14463337	0.84590	0.24030	0.00000	0.71463	0.22167	0.00000	0.54387	0.24693	0.00000
1237	NC_036838.1	14463407	0.70300	0.24035	0.00000	0.69503	0.22171	0.00000	0.38844	0.24696	0.00000
1255	NC_036838.1	14751548	-0.07171	0.04901	0.00000	-0.00327	0.07062	0.00000	0.26796	0.20165	0.00000
1257	NC_036838.1	14813201	-0.09245	0.05887	0.00000	-0.00965	0.06153	0.00000	0.21572	0.19813	0.00000
1258	NC_036838.1	14812866	-0.04579	0.05863	0.00000	-0.00194	0.06146	0.00000	0.01994	0.19808	0.00000
1275	NC_036838.1	14982549	-0.09352	0.36906	0.00000	-0.10361	0.23412	0.00000	0.06239	0.31969	0.00000
1283	NC_036838.1	15070283	0.60770	0.50249	0.00000	0.04393	0.32453	0.00000	0.27246	0.38880	0.00000
1285	NC_036838.1	15102714	0.90683	0.52498	0.00000	0.78674	0.34316	0.00000	0.61252	0.40314	0.00000
1292	NC_036838.1	15161722	0.89578	0.53808	0.00000	0.79127	0.36111	0.00000	0.57671	0.41524	0.00000
